season,wl,FieldGoalPercentage,ThreePointPercentage,FreeThrowAttemptPercentage,Assists,Points,OffensiveRebounds,DefensiveRebounds,Steals,Blocks,Turnovers
2004,L,0.02 ,65.13 ,58.13 ,8.40 ,0.00 ,21.88 ,-0.11 ,9.39 ,21.07 ,23.42 
2004,W,44.99 ,59.08 ,81.16 ,9.45 ,35.86 ,21.88 ,13.28 ,49.93 ,59.02 ,15.40 
2005,L,12.32 ,50.21 ,85.24 ,44.90 ,57.58 ,80.47 ,52.41 ,19.53 ,31.69 ,33.99 
2005,W,95.00 ,64.52 ,77.63 ,60.49 ,70.30 ,42.71 ,46.70 ,100.00 ,67.21 ,85.83 
2006,L,60.68 ,64.41 ,66.47 ,31.51 ,84.18 ,27.66 ,42.19 ,38.01 ,27.14 ,29.25 
2006,W,42.83 ,0.61 ,37.81 ,63.98 ,70.86 ,33.89 ,69.74 ,17.46 ,53.76 ,37.78 
2007,L,19.14 ,22.99 ,34.92 ,26.78 ,48.48 ,39.24 ,11.17 ,7.01 ,27.14 ,17.59 
2007,W,55.61 ,34.16 ,20.73 ,16.38 ,51.31 ,4.51 ,38.24 ,59.94 ,34.43 ,59.58 
2008,L,52.13 ,29.15 ,37.62 ,37.81 ,75.48 ,50.28 ,43.47 ,25.87 ,50.32 ,29.52 
2008,W,55.55 ,32.69 ,75.15 ,48.61 ,75.61 ,78.92 ,57.09 ,57.08 ,60.97 ,18.84 
2009,L,79.97 ,35.67 ,63.52 ,42.53 ,78.79 ,8.85 ,30.20 ,57.08 ,59.02 ,56.96 
2009,W,50.27 ,0.01 ,26.29 ,79.05 ,76.58 ,45.55 ,78.08 ,57.08 ,100.00 ,10.43 
2010,L,65.26 ,24.35 ,29.60 ,59.07 ,90.91 ,28.39 ,68.27 ,40.99 ,52.19 ,47.11 
2010,W,55.59 ,61.08 ,54.26 ,51.98 ,66.16 ,13.19 ,74.62 ,35.62 ,81.79 ,37.27 
2011,L,34.84 ,5.29 ,99.98 ,47.99 ,38.69 ,33.89 ,52.17 ,43.88 ,41.15 ,33.74 
2011,W,100.02 ,85.98 ,87.65 ,50.41 ,100.00 ,21.88 ,66.16 ,57.08 ,54.46 ,39.46 
2012,L,100.02 ,38.77 ,92.67 ,12.60 ,72.73 ,21.88 ,78.85 ,57.08 ,45.36 ,0.09 
2012,W,70.21 ,61.76 ,71.62 ,27.31 ,70.71 ,33.45 ,53.47 ,76.16 ,57.50 ,29.25 
2013,L,59.46 ,63.23 ,2.96 ,37.81 ,46.06 ,42.71 ,97.46 ,65.67 ,78.14 ,33.33 
2013,W,76.59 ,15.46 ,86.65 ,63.01 ,54.55 ,56.60 ,30.20 ,28.47 ,45.36 ,26.33 
2014,L,72.30 ,38.86 ,68.89 ,34.66 ,41.41 ,0.17 ,34.43 ,32.05 ,-0.18 ,46.02 
2014,W,93.47 ,66.97 ,34.65 ,34.66 ,51.01 ,26.22 ,36.55 ,57.08 ,22.59 ,15.40 
2015,L,39.43 ,99.99 ,57.62 ,3.15 ,46.46 ,13.19 ,2.71 ,35.62 ,45.36 ,70.08 
2015,W,45.98 ,48.13 ,26.38 ,54.99 ,41.87 ,17.14 ,29.63 ,29.77 ,25.48 ,46.22 
2016,L,69.84 ,72.91 ,16.91 ,0.00 ,49.83 ,68.17 ,39.37 ,-0.14 ,21.07 ,49.66 
2016,W,52.56 ,27.39 ,60.65 ,24.06 ,46.28 ,55.02 ,75.77 ,41.47 ,20.52 ,24.74 
2017,L,81.34 ,29.34 ,67.35 ,70.89 ,46.21 ,100.00 ,100.00 ,46.35 ,4.37 ,60.24 
2017,W,79.46 ,77.89 ,12.52 ,89.36 ,65.01 ,69.22 ,75.77 ,25.87 ,15.55 ,46.22 
2018,L,92.44 ,23.58 ,84.55 ,81.02 ,62.34 ,29.32 ,22.04 ,38.69 ,92.19 ,100.07 
2018,W,84.44 ,60.49 ,-0.01 ,99.92 ,66.23 ,36.76 ,96.37 ,26.43 ,41.45 ,47.58 
